# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
117760 86.25 -3.27115829560525e-06 -3.30823650171588e-06 -3.28045903076332e-06
118272 86.625 -2.90172154832757e-06 -2.93985336671065e-06 -2.90996118940127e-06
118784 87 -2.89935546559681e-06 -2.93682740979218e-06 -2.89989511558145e-06
119296 87.375 -2.79251096864472e-06 -2.83181154483181e-06 -2.79821382152515e-06
119808 87.75 -3.34220288184588e-06 -3.3809377101503e-06 -3.35304146214304e-06
120320 88.125 -3.28492179228923e-06 -3.32313910783796e-06 -3.28781073263517e-06
120832 88.5 -2.91277003536342e-06 -2.94998559874232e-06 -2.91441636175209e-06
121344 88.875 -2.84560359674981e-06 -2.87086221115386e-06 -2.83880446244927e-06
121856 89.25 -2.59988571904636e-06 -2.63488729056959e-06 -2.59852766779278e-06
122368 89.625 -2.91428154931007e-06 -2.95715520056608e-06 -2.91951591838818e-06
122880 90 -2.77918005570399e-06 -2.81018362900138e-06 -2.77628297857522e-06
123392 90.375 -2.23514888635963e-06 -2.26289926203592e-06 -2.23052908656502e-06
123904 90.75 -2.18939415944103e-06 -2.19724130825949e-06 -2.178277299387e-06
124416 91.125 -1.84805545714352e-06 -1.87111364901579e-06 -1.84158785502066e-06
124928 91.5 -1.96379781338193e-06 -2.0006851902236e-06 -1.96171047031438e-06
125440 91.875 -1.77866439205418e-06 -1.79570147352551e-06 -1.77025303738764e-06
125952 92.25 -1.32824407210145e-06 -1.3239564634631e-06 -1.31634953255588e-06
126464 92.625 -9.96806228721558e-07 -9.90093837183494e-07 -9.84973654580073e-07
126976 93 -8.41883091124087e-07 -8.41873722803445e-07 -8.41868545579583e-07
127488 93.375 -8.43412447853523e-07 -8.4340602025072e-07 -8.43397209809364e-07
128000 93.75 -8.36977989011781e-07 -8.36968365963724e-07 -8.36980453944528e-07
128512 94.125 -8.33539347316401e-07 -8.3354076132298e-07 -8.33532071910778e-07
129024 94.5 -8.30001856214805e-07 -8.30011723730984e-07 -8.30009363566435e-07
129536 94.875 -8.26919538157995e-07 -8.26928896887988e-07 -8.26921796505707e-07
130048 95.25 -8.25439855883529e-07 -8.25443762159804e-07 -8.25439581602908e-07
130560 95.625 -8.38532070121099e-07 -8.38640356200998e-07 -8.38587068865424e-07
131072 96 -8.34045491019342e-07 -8.34171029955179e-07 -8.34089534062689e-07
131584 96.375 -8.32602372912213e-07 -8.32697870199734e-07 -8.32664873067653e-07
132096 96.75 -8.26268057339303e-07 -8.26308844813319e-07 -8.26293644245697e-07
132608 97.125 -8.32319344744423e-07 -8.32378566979231e-07 -8.32344366560372e-07
133120 97.5 -8.32111145546006e-07 -8.32167388231989e-07 -8.3214944650037e-07
133632 97.875 -8.38773716883294e-07 -8.38812760523598e-07 -8.38775338356146e-07
134144 98.25 -8.40181101602309e-07 -8.40311775593326e-07 -8.40235218660573e-07
134656 98.625 -8.44083668187335e-07 -8.44182246236441e-07 -8.44115570622934e-07
135168 99 -8.49183739779329e-07 -8.49216830635456e-07 -8.49166675155029e-07
135680 99.375 -8.53036631475531e-07 -8.53075515360003e-07 -8.53061818774065e-07
136192 99.75 -8.54503613610701e-07 -8.54533660503941e-07 -8.54486020124894e-07
136704 100.125 -8.52017662424742e-07 -8.52041280152248e-07 -8.51990946337939e-07
137216 100.5 -8.51803783070696e-07 -8.51804470399431e-07 -8.51846105159493e-07
137728 100.875 -8.64901616084421e-07 -8.6492370887757e-07 -8.64909866433309e-07
138240 101.25 -8.59368832489095e-07 -8.59380337473667e-07 -8.59357633225225e-07
138752 101.625 -8.67392244411342e-07 -8.673911707062e-07 -8.67388374445369e-07
139264 102 -8.69426159206205e-07 -8.69447396742327e-07 -8.6945836977032e-07
139776 102.375 -8.67283218877896e-07 -8.67279847998208e-07 -8.67240284760056e-07
140288 102.75 -8.63651656520965e-07 -8.63678875517432e-07 -8.63626041561023e-07
140800 103.125 -8.63364199081234e-07 -8.6337251185442e-07 -8.63380075103439e-07
